File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
MotorDisconnectedIssue.java,61 (0.7%),50,82.0%,3,4.9%,8,13.1%
UndervoltageIssue.java,38 (0.5%),31,81.6%,0,0.0%,7,18.4%
AbstractRobotTelemetry.java,83 (1.0%),63,75.9%,8,9.6%,12,14.5%
RobotTelemetryStandard.java,140 (1.7%),74,52.9%,43,30.7%,23,16.4%
RobotTelemetrySwivel.java,84 (1.0%),56,66.7%,8,9.5%,20,23.8%
AbstractIMU.java,94 (1.1%),60,63.8%,20,21.3%,14,14.9%
SupportedIMU.java,8 (0.1%),4,50.0%,3,37.5%,1,12.5%
WrappedNavX2IMU.java,96 (1.1%),59,61.5%,19,19.8%,18,18.8%
WrappedPigeonIMU.java,67 (0.8%),43,64.2%,6,9.0%,18,26.9%
BallPhoton.java,181 (2.0%),107,59.1%,47,26.0%,27,14.9%
GoalLimelight.java,154 (1.7%),121,78.6%,6,3.9%,27,17.5%
GoalPhoton.java,177 (1.9%),107,60.5%,43,24.3%,27,15.3%
IVision.java,75 (0.8%),32,42.7%,30,40.0%,13,17.3%
SupportedVision.java,9 (0.1%),4,44.4%,3,33.3%,2,22.2%
VisionLEDMode.java,20 (0.2%),6,30.0%,13,65.0%,1,5.0%
IDistanceSensor.java,30 (0.3%),15,50.0%,11,36.7%,4,13.3%
RevDistanceSensor.java,89 (0.9%),55,61.8%,11,12.4%,23,25.8%
Total,9501,6440,0.7,1826,0.2,1235,0.1
