File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
PDP.java,92 (0.9%),58,63.0%,13,14.1%,21,22.8%
ClientServerPipeline.java,471 (4.4%),261,55.4%,180,38.2%,30,6.4%
Main.java,53 (0.5%),21,39.6%,26,49.1%,6,11.3%
Robot.java,355 (3.2%),303,85.4%,27,7.6%,25,7.0%
DefaultConfig.java,250 (2.2%),194,77.6%,35,14.0%,21,8.4%
CompetitionRobot2021.java,136 (1.2%),109,80.1%,10,7.4%,17,12.5%
PracticeRobot2021.java,120 (1.0%),90,75.0%,11,9.2%,19,15.8%
Swerve2021.java,125 (1.1%),96,76.8%,11,8.8%,18,14.4%
Robot2020.java,157 (1.3%),123,78.3%,12,7.6%,22,14.0%
BrownoutIssue.java,50 (0.4%),33,66.0%,9,18.0%,8,16.0%
DistanceSensorNonOpIssue.java,54 (0.4%),37,68.5%,9,16.7%,8,14.8%
IMUNonOpIssue.java,50 (0.4%),39,78.0%,3,6.0%,8,16.0%
ISimpleIssue.java,40 (0.3%),19,47.5%,18,45.0%,3,7.5%
IssueHandler.java,17 (0.1%),6,35.3%,8,47.1%,3,17.6%
MotorDisconnectedIssue.java,65 (0.5%),53,81.5%,3,4.6%,9,13.8%
UndervoltageIssue.java,45 (0.4%),33,73.3%,4,8.9%,8,17.8%
AbstractRobotTelemetry.java,90 (0.7%),68,75.6%,9,10.0%,13,14.4%
RobotTelemetryStandard.java,147 (1.2%),83,56.5%,42,28.6%,22,15.0%
RobotTelemetrySwivel.java,84 (0.7%),57,67.9%,8,9.5%,19,22.6%
AbstractIMU.java,113 (0.9%),62,54.9%,36,31.9%,15,13.3%
WrappedNavX2IMU.java,96 (0.7%),59,61.5%,19,19.8%,18,18.8%
WrappedPigeonIMU.java,71 (0.6%),43,60.6%,10,14.1%,18,25.4%
BallPhoton.java,181 (1.4%),107,59.1%,47,26.0%,27,14.9%
GoalLimelight.java,154 (1.2%),121,78.6%,6,3.9%,27,17.5%
GoalPhoton.java,177 (1.3%),107,60.5%,43,24.3%,27,15.3%
IVision.java,101 (0.7%),40,39.6%,46,45.5%,15,14.9%
IDistanceSensor.java,30 (0.2%),15,50.0%,11,36.7%,4,13.3%
RevDistanceSensor.java,89 (0.7%),55,61.8%,11,12.4%,23,25.8%
Total,13630,9341,0.7,2640,0.2,1649,0.1
